,EPS 原始資料,Dividen 原始資料,ROE 原始資料,Net Margin 原始資料,Free Cash flow 原始資料,Interest Coverage 原始資料,Symbol
2021,5.32,2.524,0.2697762562660472,0.1651411165081242,-28343000000.0,9.441893830703012,VZ
2022,5.06,2.573,0.23321337663477573,0.1553403734424672,10401000000.0,8.824799335732079,VZ
2023,2.75,2.624,0.1256518446391864,0.0866884619403765,12912000000.0,4.075126719768284,VZ
2024,4.14,2.673,0.17640597760915788,0.12987803068522422,18922000000.0,4.456008422319146,VZ
,,,,,,,
2021,7.81,4.19,0.28204747173175904,0.2651511303022606,19758000000.0,105.79781420765028,JNJ
2022,6.73,4.449999999999999,0.233594604447685,0.22429053631703963,17185000000.0,71.1413043478261,JNJ
2023,13.72,4.699999999999999,0.511137930031698,0.41279254101151963,17778000000.0,20.510362694300518,JNJ
2024,5.79,4.91,0.19675479087984332,0.1583634500850024,18059000000.0,23.101986754966887,JNJ
,,,,,,,
2021,3.85,1.56,0.284698384735949,0.27038431256766066,30212000000.0,19.831138652207592,PFE
2022,5.47,1.6,0.3279497391831572,0.3100765999505807,26031000000.0,29.052504038772213,PFE
2023,0.37,1.64,0.023805244118902644,0.03558115323907714,4794000000.0,1.4789497510185605,PFE
2024,1.41,1.68,0.09105132478487127,0.1262200009429959,9834000000.0,3.5956001294079587,PFE
,,,,,,,
2021,10.28,7.04,0.8795522388059701,0.2268370607028754,8381000000.0,6.598162071846282,AMGN
2022,12.11,7.76,1.7896749521988529,0.24890779926300194,8785000000.0,6.22475106685633,AMGN
2023,12.49,8.52,1.077824133504493,0.23827598439162823,7359000000.0,3.732173913043478,AMGN
2024,7.56,9.0,0.6959332993023651,0.12236716132120631,10394000000.0,2.460855784469097,AMGN
,,,,,,,
2021,2.76,2.08,0.12072842267272683,0.14981572389919276,21625000000.0,5.343508040500298,T
2022,-1.13,1.354,-0.08742564102564103,-0.07059739442277271,16186000000.0,0.49345121152586774,T
2023,1.97,1.112,0.139403854903821,0.11762015225275264,20461000000.0,3.960620525059666,T
2024,1.49,1.112,0.10489403288238225,0.08949123724823436,18508000000.0,3.470483799378606,T
,,,,,,,
2021,5.39,3.49,0.13667344892838287,0.08326948375811372,36053000000.0,33.98204857444562,XOM
2022,13.26,3.55,0.2857743438828192,0.13981313099642567,58390000000.0,98.43483709273183,XOM
2023,8.89,3.68,0.17582836105116162,0.10758984992396108,33450000000.0,63.17078916372203,XOM
2024,7.84,3.84,0.12771847329402172,0.09927869664285904,30716000000.0,50.06927710843374,XOM
,,,,,,,
2021,8.14,5.3100000000000005,0.11235591477489268,0.10041386578923692,21131000000.0,31.39185393258427,CVX
2022,18.28,5.68,0.22265541618010823,0.15045584323574457,37628000000.0,97.26744186046511,CVX
2023,11.36,6.04,0.13276216629286083,0.10852000629719724,19780000000.0,64.07889125799574,CVX
2024,9.72,6.52,0.11594821360574588,0.09131190089652248,15044000000.0,47.30639730639731,CVX
,,,,,,,
2021,1.34,3.52,-1.5410958904109588,0.11723745914452181,8236000000.0,4.218855218855219,MO
2022,3.19,3.6799999999999997,-1.4507928517493078,0.27861562258314,8051000000.0,7.550531914893617,MO
2023,4.57,3.84,-2.2966101694915255,0.3965466783728417,9091000000.0,10.510879025239339,MO
2024,6.54,4.0,-5.033065236818588,0.5509684993152025,8611000000.0,13.151245551601424,MO
,,,,,,,
2021,2.25,1.68,0.42484455845906344,0.2527745440434614,11258000000.0,8.780212899185974,KO
2022,2.19,1.76,0.3958514830947936,0.2218863361547763,9534000000.0,14.249433106575964,KO
2023,2.47,1.84,0.41301414748853166,0.23416531887922368,9747000000.0,9.481990831696136,KO
2024,2.46,1.94,0.4277035725780496,0.22589830220352308,4741000000.0,8.902173913043478,KO
,,,,,,,
2021,1.76,1.38,0.08373212419810992,0.6716166479416628,893845000.0,3.6148602156018246,VICI
2022,1.27,1.5,0.0509552975641933,0.42974441082525183,1941520000.0,3.109707696781016,VICI
2023,2.47,1.6099999999999999,0.0995227616039971,0.6958882476907454,2176974000.0,4.115289173357326,VICI
2024,2.56,1.696,0.1009425933535572,0.6959385119784475,2373972000.0,4.305841807923283,VICI
,,,,,,,
2021,5.49,4.247999999999999,0.474848843732469,0.09585524825729169,6991000000.0,6.271604938271605,PEP
2022,6.42,4.5249999999999995,0.5195638229634381,0.10313454949532364,5604000000.0,12.400425985090521,PEP
2023,6.56,4.944999999999999,0.49040696103334597,0.09920083961036831,7924000000.0,14.94017094017094,PEP
2024,6.95,5.33,0.5309018347098277,0.10427417423302197,7189000000.0,13.998911860718172,PEP
,,,,,,,
2021,5.63,1.335,0.32751602862539575,0.5107239161999585,14522000000.0,32.31189083820663,V
2022,7.0,1.575,0.42036480143897026,0.5103036506311839,17879000000.0,34.71003717472119,V
2023,8.28,1.87,0.44595048150156197,0.5289866168499066,19696000000.0,33.66614906832298,V
2024,9.73,2.15,0.504458696374275,0.5495462895952792,18693000000.0,38.31045241809672,V
,,,,,,,
2021,5.61,0.865,1.5007132667617689,0.2588179335569424,92953000000.0,42.288090737240076,AAPL
2022,6.11,0.91,1.9695887275023682,0.2530964070519973,111443000000.0,40.74957352439441,AAPL
2023,6.13,0.95,1.5607601454639075,0.2530623426432028,99584000000.0,29.062039155860667,AAPL
2024,6.08,0.99,1.6459350307287095,0.23971255769943867,108807000000.0,,AAPL
,,,,,,,
