,EPS: 每年穩定增加,Dividends: 每年穩定增加,ROE: 每年都>20%,"Net Margin: 每年>20%(+1), 每年>10%(+0.5)","IC: >10% (+1), >4 (+0.5)",FCF: 每年>0,Total Score,Discount Rate,EPS avg Growth Rate,Latest yearly dividen,Estimated dividen,Fair Price(yield 5%)),Current Price,Current < Fair?
VZ,0,1,0,0.00,0.50,0,1.50,12%,0.00%,2.67,2.67,47.05,43.61,Y
JNJ,0,1,0,0.50,1.00,1,3.50,10%,10.75%,4.91,5.44,97.88,179.71,N
PFE,0,1,0,0.00,0.00,1,2.00,12%,15.00%,1.68,1.93,34.00,23.76,Y
AMGN,0,1,1,0.50,0.00,1,3.50,10%,0.00%,9.00,9.00,162.00,272.98,N
T,0,0,0,0.00,0.00,1,1.00,12%,0.00%,1.11,1.11,19.57,28.31,N
XOM,0,1,0,0.00,1.00,1,3.00,10%,15.00%,3.84,4.42,79.49,117.22,N
CVX,0,1,0,0.00,1.00,1,3.00,10%,15.00%,6.52,7.50,134.96,160.16,N
MO,0,1,0,0.50,0.50,1,3.00,10%,15.00%,4.00,4.60,82.80,65.71,Y
KO,0,1,1,1.00,0.50,1,4.50,10%,3.24%,1.94,2.00,36.05,65.67,N
VICI,0,1,0,1.00,0.00,1,3.00,10%,15.00%,1.70,1.95,35.11,32.47,Y
PEP,0,1,1,0.00,0.50,1,3.50,10%,8.36%,5.33,5.78,103.96,140.44,N
V,0,1,1,1.00,1.00,1,5.00,8%,15.00%,2.15,2.47,45.49,337.37,N
AAPL,0,1,1,1.00,1.00,1,5.00,8%,2.81%,0.99,1.02,18.73,255.46,N
